Бренд,Артикул,Наименование,Категория (конечная)
IEK,UZA-11-D02-D35,Зажим ответвительный ЗОИ 16-95/2.5-35,Арматура для монтажа СИП
IEK,CTG12-050-K04-050-R,Труба гофрированная двустенная 50мм с протяжкой с муфтой красная (50м),Трубы гибкие двустенные
IEK,LLE-A60-11-230-40-E27,Лампа светодиодная LED 11вт E27 белый ECO,"Светодиодные лампы E14, E27, E40 стандартная колба"
IEK,LLE-A60-20-230-40-E27,Лампа светодиодная LED 20вт Е27 белый ECO,"Светодиодные лампы E14, E27, E40 стандартная колба"
IEK,LLD111-LS-65,Стартер LS111М 4-65вт 220-240в,Стартеры
IEK,CTA10D-CF20-K41-100,Держатель с защелкой 20 мм для труб,Держатели и крепления для труб
IEK,CTA10D-CF16-K41-100,Держатель с защелкой 16 мм для труб,Держатели и крепления для труб
IEK,CTA10D-CF32-K41-050,Держатель с защелкой 32 мм для труб (50шт),Держатели и крепления для труб
IEK,CTA10D-GIG20-K41-100,Муфта труба-труба 20мм IP40 GI20G,Муфты и соединители для труб
IEK,CTA10D-CF40-K41-050,Держатель с защелкой 40 мм для труб,Держатели и крепления для труб
IEK,CTA10D-CF25-K41-100,Держатель с защелкой 25 мм для труб,Держатели и крепления для труб
IEK,CTA10D-CF20-K02-100,Держатель с защёлкой CF20 IEK черный,Держатели и крепления для труб
IEK,ERK11-K01-16-DM,КВАРТА Розетка с заземлением со шторками белая 16А,Силовые розетки скрытого монтажа
IEK,UZMA-BIK-Y153-S,Бирка кабельная У-153 (малый квадрат 28х28 мм) IEK,Маркировка шкафов
IEK,CMAT10-14-100,Скоба металлическая однолапковая d=14-15мм,Скобы металлические
IEK,CMAT11-25-100,Скоба металлическая двухлапковая d=25-26мм,Скобы металлические
IEK,CKK11-025-016-1-K01,Кабель-канал 25х16 ECOLINE (50 м),Миниканалы
IEK,CKK11-020-010-1-K01,Кабель-канал 20х10 ECOLINE (96 м),Миниканалы
IEK,CKK11-025-025-1-K01,Кабель-канал 25х25 ECOLINE (32 м),Миниканалы
IEK,uko11-085-085-040-k41-44,Коробка распределительная 85х85х40 IP44 КМ41235,Коробки распределительные наружный монтаж
IEK,CKK11-016-016-1-K01,Кабель-канал 16х16 ECOLINE (84 м),Миниканалы
IEK,CMAT10-31-100,Скоба металлическая однолапковая d=31-32мм,Скобы металлические
IEK,CLW10-MDS-20,Комплект соединительный двойной MDS М6х20,Метизы и крепежные изделия для кабеленесущих систем
IEK,CM10-25-050,Металлорукав Р3-ЦХ-25 (50 м),Металлорукав без изоляции
IEK,CLW10-CR,Пластина для подвеса 52х52,"Подвесы и крепления (к потолку, к стене)"
IEK,CKK11-040-025-1-K01,Кабель-канал 40х25 ECOLINE (24 м),Миниканалы
IEK,CMAT11-48-050,Скоба металлическая двухлапковая d=48-50мм,Скобы металлические
IEK,CMAT11-31-100,Скоба металлическая двухлапковая d=31-32мм        (CMAT11-31-100),Скобы металлические
IEK,CM10-15-100,Металлорукав Р3-ЦХ-15 (100 м),Металлорукав без изоляции
IEK,CM10-20-050,Металлорукав Р3-ЦХ-20 (50 м),Металлорукав без изоляции
IEK,CKK11-015-010-1-K01,Кабель-канал 15х10 ECOLINE (144 м),Миниканалы
IEK,CMAT10-16-100,Скоба металлическая однолапковая d=16-17мм,Скобы металлические
IEK,CMAT11-19-100,Скоба металлическая двухлапковая d=19-20мм,Скобы металлические
IEK,CLP1M-CS-6-10-1,Комплект соединительный М6х10 КС,Метизы и крепежные изделия для кабеленесущих систем
IEK,CMAT10-25-100,Скоба металлическая однолапковая d=25-26мм,Скобы металлические
IEK,CMAT10-19-100,Скоба металлическая однолапковая d=19-20мм,Скобы металлические
IEK,CMAT11-16-100,Скоба металлическая двухлапковая d=16-17мм,Скобы металлические
IEK,MRD10-16,Розетка на DIN-рейку с заземлением контактов РАр 10-3-ОП,Электронные элементы шкафов
IEK,PKR01-016-2-K02,ОМЕГА Вилка прямая каучук 16А 2Р+E IР44,"Удлинители, сетевые фильтры, переходники, штепсельные вилки"
